Months,Vol 30% Mean PV,Vol 30% P1 PV,Vol 30% P5 PV,Vol 30% P10 PV,Vol 30% ES5 PV,Vol 50% Mean PV,Vol 50% P1 PV,Vol 50% P5 PV,Vol 50% P10 PV,Vol 50% ES5 PV,Vol 70% Mean PV,Vol 70% P1 PV,Vol 70% P5 PV,Vol 70% P10 PV,Vol 70% ES5 PV
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
3,9999.0,6958.0,7725.0,8159.0,7241.0,10026.0,5436.0,6431.0,7055.0,5816.0,10039.0,4203.0,5281.0,5962.0,4638.0
6,10018.0,5990.0,6887.0,7441.0,6335.0,9992.0,4104.0,5301.0,5995.0,4592.0,9874.0,2789.0,3901.0,4706.0,3233.0
9,10035.0,5329.0,6370.0,6986.0,5721.0,9985.0,3334.0,4454.0,5194.0,3746.0,10055.0,1959.0,3067.0,3841.0,2413.0
12,9987.0,4732.0,5789.0,6515.0,5129.0,9997.0,2700.0,3866.0,4652.0,3172.0,9969.0,1538.0,2505.0,3186.0,1911.0
15,9975.0,4305.0,5452.0,6090.0,4742.0,9909.0,2243.0,3363.0,4089.0,2696.0,10217.0,1153.0,2090.0,2699.0,1531.0
18,9943.0,3959.0,5064.0,5829.0,4393.0,9964.0,2060.0,3087.0,3777.0,2455.0,9827.0,951.0,1679.0,2292.0,1230.0
21,10009.0,3676.0,4802.0,5568.0,4104.0,9876.0,1735.0,2703.0,3438.0,2116.0,9857.0,753.0,1411.0,1967.0,1014.0
24,10119.0,3348.0,4583.0,5306.0,3837.0,9985.0,1545.0,2535.0,3226.0,1930.0,10026.0,597.0,1187.0,1734.0,841.0
27,10049.0,3180.0,4310.0,5083.0,3606.0,10006.0,1326.0,2237.0,2938.0,1683.0,9905.0,455.0,1003.0,1507.0,670.0
30,10028.0,3032.0,4135.0,4862.0,3439.0,10037.0,1147.0,1964.0,2638.0,1456.0,10065.0,452.0,908.0,1354.0,622.0
33,9982.0,2838.0,3855.0,4628.0,3215.0,9988.0,1062.0,1832.0,2466.0,1346.0,9870.0,347.0,748.0,1184.0,495.0
36,10124.0,2644.0,3686.0,4534.0,3054.0,10091.0,888.0,1614.0,2236.0,1192.0,9937.0,287.0,653.0,977.0,430.0
